Mostres_ESP32,Valor1_mV, Valor2_mV
1383,134, 527
1384,134, 532
1385,138, 539
1386,135, 533
1387,137, 539
1388,138, 529
1389,142, 537
1390,137, 539
1391,136, 546
1392,137, 542
1393,145, 542
1394,142, 541
1395,148, 542
1396,142, 549
1397,147, 543
1398,140, 543
1399,147, 543
1400,134, 547
1401,147, 548
1402,140, 551
1403,148, 542
1404,139, 547
1405,131, 541
1406,134, 531
1407,138, 540
1408,130, 535
1409,130, 539
1410,136, 531
1411,130, 533
1412,127, 532
1413,132, 533
1414,130, 532
1415,128, 537
1416,129, 527
1417,121, 525
1418,127, 524
1419,125, 524
1420,124, 519
1421,116, 519
1422,126, 522
1423,122, 524
1424,118, 516
1425,120, 516
1426,123, 517
1427,120, 513
1428,119, 516
1429,121, 529
1430,125, 513
1431,124, 516
1432,126, 516
1433,125, 519
1434,122, 517
1435,123, 518
1436,126, 521
1437,130, 509
1438,127, 512
1439,124, 525
1440,132, 524
1441,124, 523
1442,132, 526
1443,128, 526
1444,130, 529
1445,136, 529
1446,133, 529
1447,134, 535
1448,140, 535
1449,140, 540
1450,140, 537
1451,138, 540
1452,138, 547
1453,151, 542
1454,145, 546
1455,138, 545
1456,151, 545
1457,150, 555
1458,151, 546
1459,149, 546
1460,143, 545
1461,141, 543
1462,140, 546
1463,145, 543
1464,139, 543
1465,140, 542
1466,135, 542
1467,139, 539
1468,138, 537
1469,131, 540
1470,124, 533
1471,131, 529
1472,133, 535
1473,127, 533
1474,131, 535
1475,130, 522
1476,124, 529
1477,126, 527
1478,120, 524
1479,127, 524
1480,126, 523
1481,119, 519
1482,112, 522
1483,124, 518
1484,117, 514
1485,120, 519
1486,122, 517
1487,121, 512
1488,117, 517
1489,117, 512
1490,117, 517
1491,123, 513
1492,123, 514
1493,119, 517
1494,121, 509
1495,122, 515
1496,121, 517
1497,119, 517
1498,119, 523
1499,127, 521
1500,126, 519
1501,129, 522
1502,128, 526
1503,136, 527
1504,135, 530
1505,131, 529
1506,131, 529
1507,137, 529
1508,135, 533
1509,140, 533
1510,141, 535
1511,139, 533
1512,135, 535
1513,140, 546
1514,148, 543
1515,142, 541
1516,136, 543
1517,149, 543
1518,140, 552
1519,151, 546
1520,147, 542
1521,147, 543
1522,139, 548
1523,141, 553
1524,148, 543
1525,141, 543
1526,140, 547
1527,139, 540
